risk_id,category,scenario,time_horizon,likelihood,financial_impact_inr_crores,mitigation,status,owner,affected_business_unit,risk_description
CR-02650,Transition-Policy,RCP8.5,Long (5-10 yr),Likely,69.55,Workforce reskilling programme,Open,Legal & Compliance,PJT-RNW,India carbon market (CCTS) compliance cost
CR-02651,Transition-Policy,RCP8.5,Very Long (10-30 yr),Almost Certain,7.4,Workforce reskilling programme,Closed,Investor Relations,LOG-NSK,India carbon market (CCTS) compliance cost
CR-02652,Transition-Policy,RCP8.5,Very Long (10-30 yr),Almost Certain,15.22,Capex earmarked in 5-yr plan,Closed,Group HR,PJT-WTR,India carbon market (CCTS) compliance cost
CR-02653,Transition-Policy,RCP8.5,Very Long (10-30 yr),Likely,0.5,Hedging via carbon market,Closed,Strategy & Planning,FW-CDP,India carbon market (CCTS) compliance cost
CR-02654,Transition-Policy,RCP8.5,Very Long (10-30 yr),Likely,24.99,Vendor diversification programme,Mitigating,Strategy & Planning,FNC-CSR,India carbon market (CCTS) compliance cost
CR-02655,Transition-Policy,RCP8.5,Very Long (10-30 yr),Possible,7.41,Capex earmarked in 5-yr plan,Closed,Group HR,PJT-HRT,India carbon market (CCTS) compliance cost
CR-02656,Transition-Policy,NGFS-NetZero2050,Short (0-2 yr),Possible,4.99,Engineering controls — process,Closed,EHS Director,PCH-VDR,EU CBAM exposure on exports
CR-02657,Transition-Policy,NGFS-NetZero2050,Short (0-2 yr),Rare,25.75,Engineering controls — process,Mitigating,Procurement,FNC-LGL,EU CBAM exposure on exports
CR-02658,Transition-Policy,NGFS-NetZero2050,Short (0-2 yr),Rare,302.22,Customer transition partnership,Closed,Legal & Compliance,PJT-COC,EU CBAM exposure on exports
CR-02659,Transition-Policy,NGFS-NetZero2050,Short (0-2 yr),Possible,32.11,Workforce reskilling programme,Mitigating,Treasury,MKT-B2C,EU CBAM exposure on exports
CR-02660,Transition-Policy,NGFS-NetZero2050,Short (0-2 yr),Almost Certain,72.03,Hedging via carbon market,Mitigating,EHS Director,PJT-CIRC,EU CBAM exposure on exports
CR-02661,Transition-Policy,NGFS-NetZero2050,Short (0-2 yr),Possible,0.56,Engineering controls — process,Mitigating,Legal & Compliance,LOG-VSP,EU CBAM exposure on exports
CR-02662,Transition-Policy,NGFS-NetZero2050,Short (0-2 yr),Possible,1.88,Capex earmarked in 5-yr plan,Open,Procurement,PCH-JMG,EU CBAM exposure on exports
CR-02663,Transition-Policy,NGFS-NetZero2050,Short (0-2 yr),Likely,1.28,PPA conversion to renewables,Mitigating,Strategy & Planning,FNC-CSR,EU CBAM exposure on exports
CR-02664,Transition-Policy,NGFS-NetZero2050,Short (0-2 yr),Almost Certain,19.97,Capex earmarked in 5-yr plan,Mitigating,Procurement,LOG-KCH,EU CBAM exposure on exports
CR-02665,Transition-Policy,NGFS-NetZero2050,Short (0-2 yr),Likely,6.17,Customer transition partnership,Mitigating,Treasury,RND-HYD,EU CBAM exposure on exports
CR-02666,Transition-Policy,NGFS-NetZero2050,Medium (2-5 yr),Possible,7.07,Capex earmarked in 5-yr plan,Mitigating,Legal & Compliance,MKT-B2C,EU CBAM exposure on exports
CR-02667,Transition-Policy,NGFS-NetZero2050,Medium (2-5 yr),Possible,4.38,Site-level adaptation plan,Mitigating,EHS Director,RND-HYD,EU CBAM exposure on exports
CR-02668,Transition-Policy,NGFS-NetZero2050,Medium (2-5 yr),Possible,5.16,PPA conversion to renewables,Mitigating,Strategy & Planning,FNC-PRC,EU CBAM exposure on exports
CR-02669,Transition-Policy,NGFS-NetZero2050,Medium (2-5 yr),Possible,28.57,Supplier contract pass-through,Mitigating,Treasury,LOG-MNG,EU CBAM exposure on exports
CR-02670,Transition-Policy,NGFS-NetZero2050,Medium (2-5 yr),Possible,4.37,Capex earmarked in 5-yr plan,Mitigating,Group HR,MKT-B2B,EU CBAM exposure on exports
CR-02671,Transition-Policy,NGFS-NetZero2050,Medium (2-5 yr),Likely,2.18,Insurance coverage expanded,Mitigating,CRO Office,REG-WST,EU CBAM exposure on exports
CR-02672,Transition-Policy,NGFS-NetZero2050,Medium (2-5 yr),Possible,1.31,Workforce reskilling programme,Closed,EHS Director,PJT-CIRC,EU CBAM exposure on exports
CR-02673,Transition-Policy,NGFS-NetZero2050,Medium (2-5 yr),Likely,0.94,Supplier contract pass-through,Mitigating,EHS Director,DST-HYD,EU CBAM exposure on exports
CR-02674,Transition-Policy,NGFS-NetZero2050,Long (5-10 yr),Possible,47.36,Site-level adaptation plan,Closed,Investor Relations,OFC-BBS,EU CBAM exposure on exports
CR-02675,Transition-Policy,NGFS-NetZero2050,Long (5-10 yr),Possible,4.1,Insurance coverage expanded,Closed,Sustainability — Climate,MKT-OEM,EU CBAM exposure on exports
CR-02676,Transition-Policy,NGFS-NetZero2050,Long (5-10 yr),Possible,0.69,Site-level adaptation plan,Open,Group HR,RSK-PHY,EU CBAM exposure on exports
CR-02677,Transition-Policy,NGFS-NetZero2050,Long (5-10 yr),Possible,10.1,Supplier contract pass-through,Open,Legal & Compliance,RND-BLR,EU CBAM exposure on exports
CR-02678,Transition-Policy,NGFS-NetZero2050,Long (5-10 yr),Rare,34.17,Insurance coverage expanded,Mitigating,CRO Office,PCH-PDP,EU CBAM exposure on exports
CR-02679,Transition-Policy,NGFS-NetZero2050,Long (5-10 yr),Possible,88.71,PPA conversion to renewables,Mitigating,Investor Relations,OFC-AMD,EU CBAM exposure on exports
CR-02680,Transition-Policy,NGFS-NetZero2050,Very Long (10-30 yr),Almost Certain,19.15,PPA conversion to renewables,Closed,EHS Director,PJT-COM,EU CBAM exposure on exports
CR-02681,Transition-Policy,NGFS-NetZero2050,Very Long (10-30 yr),Rare,0.79,Workforce reskilling programme,Closed,Strategy & Planning,REF-HZR,EU CBAM exposure on exports
CR-02682,Transition-Policy,NGFS-NetZero2050,Very Long (10-30 yr),Possible,30.05,Insurance coverage expanded,Mitigating,Legal & Compliance,FNC-PRC,EU CBAM exposure on exports
CR-02683,Transition-Policy,NGFS-NetZero2050,Very Long (10-30 yr),Possible,20.35,Site-level adaptation plan,Closed,Treasury,DST-LKO,EU CBAM exposure on exports
CR-02684,Transition-Policy,NGFS-NetZero2050,Very Long (10-30 yr),Rare,3.55,Capex earmarked in 5-yr plan,Mitigating,Strategy & Planning,RND-SRT,EU CBAM exposure on exports
CR-02685,Transition-Policy,NGFS-NetZero2050,Very Long (10-30 yr),Possible,51.97,Supplier contract pass-through,Mitigating,Treasury,PCH-PDP,EU CBAM exposure on exports
CR-02686,Transition-Policy,NGFS-DivergentNetZero,Short (0-2 yr),Rare,15.28,Customer transition partnership,Open,Sustainability — Climate,OFC-AMD,EU CBAM exposure on exports
CR-02687,Transition-Policy,NGFS-DivergentNetZero,Short (0-2 yr),Possible,24.25,Engineering controls — process,Mitigating,Strategy & Planning,LOG-TUT,EU CBAM exposure on exports
CR-02688,Transition-Policy,NGFS-DivergentNetZero,Short (0-2 yr),Possible,9.81,Site-level adaptation plan,Mitigating,Treasury,PJT-WHB,EU CBAM exposure on exports
CR-02689,Transition-Policy,NGFS-DivergentNetZero,Short (0-2 yr),Rare,2.47,Workforce reskilling programme,Open,Strategy & Planning,OFC-CMB,EU CBAM exposure on exports
CR-02690,Transition-Policy,NGFS-DivergentNetZero,Short (0-2 yr),Possible,9.93,Supplier contract pass-through,Mitigating,Treasury,PJT-CIRC,EU CBAM exposure on exports
CR-02691,Transition-Policy,NGFS-DivergentNetZero,Short (0-2 yr),Likely,9.8,Capex earmarked in 5-yr plan,Closed,CRO Office,LOG-NSK,EU CBAM exposure on exports
CR-02692,Transition-Policy,NGFS-DivergentNetZero,Short (0-2 yr),Possible,11.03,Insurance coverage expanded,Mitigating,EHS Director,RND-HYD,EU CBAM exposure on exports
CR-02693,Transition-Policy,NGFS-DivergentNetZero,Short (0-2 yr),Likely,10.15,Insurance coverage expanded,Mitigating,Treasury,DST-LKO,EU CBAM exposure on exports
CR-02694,Transition-Policy,NGFS-DivergentNetZero,Short (0-2 yr),Rare,15.51,Site-level adaptation plan,Closed,Group HR,OFC-KCH,EU CBAM exposure on exports
CR-02695,Transition-Policy,NGFS-DivergentNetZero,Short (0-2 yr),Likely,0.5,Hedging via carbon market,Mitigating,Strategy & Planning,FNC-COR,EU CBAM exposure on exports
CR-02696,Transition-Policy,NGFS-DivergentNetZero,Medium (2-5 yr),Rare,7.11,Customer transition partnership,Mitigating,Group HR,LOG-KND,EU CBAM exposure on exports
CR-02697,Transition-Policy,NGFS-DivergentNetZero,Medium (2-5 yr),Rare,7.42,Vendor diversification programme,Open,Procurement,PJT-COM,EU CBAM exposure on exports
CR-02698,Transition-Policy,NGFS-DivergentNetZero,Medium (2-5 yr),Likely,23.61,Workforce reskilling programme,Closed,Investor Relations,REG-NTH,EU CBAM exposure on exports
CR-02699,Transition-Policy,NGFS-DivergentNetZero,Medium (2-5 yr),Rare,1.27,Supplier contract pass-through,Mitigating,Sustainability — Climate,RND-PUN,EU CBAM exposure on exports
CR-02700,Transition-Policy,NGFS-DivergentNetZero,Medium (2-5 yr),Possible,0.5,PPA conversion to renewables,Mitigating,Strategy & Planning,MKT-EXP,EU CBAM exposure on exports
CR-02701,Transition-Policy,NGFS-DivergentNetZero,Medium (2-5 yr),Likely,13.65,Insurance coverage expanded,Mitigating,CRO Office,PJT-DAT,EU CBAM exposure on exports
CR-02702,Transition-Policy,NGFS-DivergentNetZero,Medium (2-5 yr),Likely,7.29,Supplier contract pass-through,Closed,CRO Office,OFC-JPR,EU CBAM exposure on exports
CR-02703,Transition-Policy,NGFS-DivergentNetZero,Medium (2-5 yr),Rare,25.53,Site-level adaptation plan,Mitigating,Plant Operations,PJT-EVS,EU CBAM exposure on exports
CR-02704,Transition-Policy,NGFS-DivergentNetZero,Medium (2-5 yr),Rare,0.81,Site-level adaptation plan,Mitigating,Sustainability — Climate,FW-BRSR,EU CBAM exposure on exports
CR-02705,Transition-Policy,NGFS-DivergentNetZero,Long (5-10 yr),Rare,11.04,Insurance coverage expanded,Mitigating,Strategy & Planning,MKT-DST,EU CBAM exposure on exports
CR-02706,Transition-Policy,NGFS-DivergentNetZero,Long (5-10 yr),Likely,2.06,Engineering controls — process,Mitigating,Plant Operations,DST-IND,EU CBAM exposure on exports
CR-02707,Transition-Policy,NGFS-DivergentNetZero,Long (5-10 yr),Almost Certain,10.78,Supplier contract pass-through,Open,CRO Office,MKT-PSU,EU CBAM exposure on exports
CR-02708,Transition-Policy,NGFS-DivergentNetZero,Long (5-10 yr),Rare,5.85,Site-level adaptation plan,Open,Treasury,LOG-KND,EU CBAM exposure on exports
CR-02709,Transition-Policy,NGFS-DivergentNetZero,Long (5-10 yr),Rare,79.45,Site-level adaptation plan,Mitigating,EHS Director,PJT-BIO,EU CBAM exposure on exports
CR-02710,Transition-Policy,NGFS-DivergentNetZero,Long (5-10 yr),Possible,2.92,Engineering controls — process,Closed,Procurement,PCH-NGT,EU CBAM exposure on exports
CR-02711,Transition-Policy,NGFS-DivergentNetZero,Long (5-10 yr),Almost Certain,14.12,Vendor diversification programme,Closed,Sustainability — Climate,RSK-DAT,EU CBAM exposure on exports
CR-02712,Transition-Policy,NGFS-DivergentNetZero,Long (5-10 yr),Likely,2.07,Supplier contract pass-through,Mitigating,Plant Operations,PJT-CIRC,EU CBAM exposure on exports
CR-02713,Transition-Policy,NGFS-DivergentNetZero,Very Long (10-30 yr),Possible,5.28,Engineering controls — process,Mitigating,Plant Operations,PJT-CIRC,EU CBAM exposure on exports
CR-02714,Transition-Policy,NGFS-DivergentNetZero,Very Long (10-30 yr),Possible,1.01,Supplier contract pass-through,Closed,Plant Operations,PCH-JMG,EU CBAM exposure on exports
CR-02715,Transition-Policy,NGFS-DivergentNetZero,Very Long (10-30 yr),Likely,8.76,Customer transition partnership,Mitigating,Procurement,FW-BRSR,EU CBAM exposure on exports
CR-02716,Transition-Policy,NGFS-DivergentNetZero,Very Long (10-30 yr),Rare,17.32,Engineering controls — process,Open,Procurement,PJT-CYB,EU CBAM exposure on exports
CR-02717,Transition-Policy,NGFS-DivergentNetZero,Very Long (10-30 yr),Possible,12.25,Supplier contract pass-through,Mitigating,Investor Relations,DST-IND,EU CBAM exposure on exports
CR-02718,Transition-Policy,NGFS-DivergentNetZero,Very Long (10-30 yr),Possible,4.46,Capex earmarked in 5-yr plan,Mitigating,Procurement,RND-PUN,EU CBAM exposure on exports
CR-02719,Transition-Policy,NGFS-DivergentNetZero,Very Long (10-30 yr),Possible,6.39,Insurance coverage expanded,Mitigating,Treasury,RSK-SUP,EU CBAM exposure on exports
CR-02720,Transition-Policy,NGFS-DivergentNetZero,Very Long (10-30 yr),Possible,3.64,Capex earmarked in 5-yr plan,Mitigating,Plant Operations,OFC-DLH,EU CBAM exposure on exports
CR-02721,Transition-Policy,NGFS-DivergentNetZero,Very Long (10-30 yr),Possible,6.97,Site-level adaptation plan,Open,Procurement,FW-TNFD,EU CBAM exposure on exports
CR-02722,Transition-Policy,NGFS-DelayedTransition,Short (0-2 yr),Likely,34.89,PPA conversion to renewables,Mitigating,Strategy & Planning,DST-LKO,EU CBAM exposure on exports
CR-02723,Transition-Policy,NGFS-DelayedTransition,Short (0-2 yr),Rare,0.5,Insurance coverage expanded,Mitigating,Strategy & Planning,RND-HYD,EU CBAM exposure on exports
CR-02724,Transition-Policy,NGFS-DelayedTransition,Short (0-2 yr),Possible,19.75,Vendor diversification programme,Mitigating,Investor Relations,BIZ-AGR,EU CBAM exposure on exports
CR-02725,Transition-Policy,NGFS-DelayedTransition,Short (0-2 yr),Almost Certain,17.14,Supplier contract pass-through,Mitigating,CRO Office,RSK-CYB,EU CBAM exposure on exports
CR-02726,Transition-Policy,NGFS-DelayedTransition,Short (0-2 yr),Rare,12.54,PPA conversion to renewables,Open,Plant Operations,REG-EST,EU CBAM exposure on exports
CR-02727,Transition-Policy,NGFS-DelayedTransition,Short (0-2 yr),Possible,2.65,Workforce reskilling programme,Mitigating,Procurement,PJT-NETZ,EU CBAM exposure on exports
CR-02728,Transition-Policy,NGFS-DelayedTransition,Short (0-2 yr),Possible,57.77,Customer transition partnership,Closed,Plant Operations,FNC-COR,EU CBAM exposure on exports
CR-02729,Transition-Policy,NGFS-DelayedTransition,Short (0-2 yr),Rare,504.69,Engineering controls — process,Closed,Plant Operations,OFC-KCH,EU CBAM exposure on exports
CR-02730,Transition-Policy,NGFS-DelayedTransition,Short (0-2 yr),Rare,19.22,Hedging via carbon market,Open,Group HR,PJT-CIRC,EU CBAM exposure on exports
CR-02731,Transition-Policy,NGFS-DelayedTransition,Medium (2-5 yr),Rare,2.92,Customer transition partnership,Open,Sustainability — Climate,LOG-MNG,EU CBAM exposure on exports
CR-02732,Transition-Policy,NGFS-DelayedTransition,Medium (2-5 yr),Possible,2.91,Hedging via carbon market,Mitigating,Procurement,BIZ-AGR,EU CBAM exposure on exports
CR-02733,Transition-Policy,NGFS-DelayedTransition,Medium (2-5 yr),Likely,3.53,Vendor diversification programme,Open,Investor Relations,FW-SBTI,EU CBAM exposure on exports
CR-02734,Transition-Policy,NGFS-DelayedTransition,Medium (2-5 yr),Possible,3.48,Customer transition partnership,Closed,Procurement,PJT-BIO,EU CBAM exposure on exports
CR-02735,Transition-Policy,NGFS-DelayedTransition,Medium (2-5 yr),Likely,46.44,Customer transition partnership,Mitigating,Investor Relations,BIZ-PCK,EU CBAM exposure on exports
CR-02736,Transition-Policy,NGFS-DelayedTransition,Long (5-10 yr),Possible,1.17,Insurance coverage expanded,Mitigating,Legal & Compliance,FNC-IT,EU CBAM exposure on exports
CR-02737,Transition-Policy,NGFS-DelayedTransition,Long (5-10 yr),Likely,3.59,Vendor diversification programme,Mitigating,Plant Operations,PJT-AUD,EU CBAM exposure on exports
CR-02738,Transition-Policy,NGFS-DelayedTransition,Long (5-10 yr),Possible,9.05,Supplier contract pass-through,Mitigating,Sustainability — Climate,RSK-BIO,EU CBAM exposure on exports
CR-02739,Transition-Policy,NGFS-DelayedTransition,Long (5-10 yr),Likely,6.36,Vendor diversification programme,Mitigating,CRO Office,LOG-KND,EU CBAM exposure on exports
CR-02740,Transition-Policy,NGFS-DelayedTransition,Long (5-10 yr),Likely,6.32,Hedging via carbon market,Open,Investor Relations,MKT-B2B,EU CBAM exposure on exports
CR-02741,Transition-Policy,NGFS-DelayedTransition,Long (5-10 yr),Possible,6.06,Insurance coverage expanded,Closed,Procurement,FNC-COR,EU CBAM exposure on exports
CR-02742,Transition-Policy,NGFS-DelayedTransition,Long (5-10 yr),Possible,2.75,PPA conversion to renewables,Open,Group HR,FW-GRI,EU CBAM exposure on exports
CR-02743,Transition-Policy,NGFS-DelayedTransition,Very Long (10-30 yr),Almost Certain,34.62,Vendor diversification programme,Mitigating,Legal & Compliance,FW-TCFD,EU CBAM exposure on exports
CR-02744,Transition-Policy,NGFS-DelayedTransition,Very Long (10-30 yr),Likely,1.48,Supplier contract pass-through,Closed,Sustainability — Climate,PJT-LIV,EU CBAM exposure on exports
CR-02745,Transition-Policy,NGFS-DelayedTransition,Very Long (10-30 yr),Likely,4.18,Customer transition partnership,Mitigating,Investor Relations,PJT-BIO,EU CBAM exposure on exports
CR-02746,Transition-Policy,NGFS-DelayedTransition,Very Long (10-30 yr),Likely,2.22,Insurance coverage expanded,Mitigating,Plant Operations,RSK-PHY,EU CBAM exposure on exports
CR-02747,Transition-Policy,NGFS-DelayedTransition,Very Long (10-30 yr),Likely,1.18,Hedging via carbon market,Mitigating,Procurement,PJT-TAX,EU CBAM exposure on exports
CR-02748,Transition-Policy,IEA-NZE2050,Short (0-2 yr),Possible,0.5,Workforce reskilling programme,Open,Treasury,OFC-DLH,EU CBAM exposure on exports
CR-02749,Transition-Policy,IEA-NZE2050,Short (0-2 yr),Rare,3.57,Hedging via carbon market,Mitigating,CRO Office,FNC-LGL,EU CBAM exposure on exports
CR-02750,Transition-Policy,IEA-NZE2050,Short (0-2 yr),Possible,2.07,Workforce reskilling programme,Mitigating,Group HR,RSK-WTR,EU CBAM exposure on exports
CR-02751,Transition-Policy,IEA-NZE2050,Short (0-2 yr),Rare,24.54,PPA conversion to renewables,Mitigating,EHS Director,FW-SBTI,EU CBAM exposure on exports
CR-02752,Transition-Policy,IEA-NZE2050,Short (0-2 yr),Possible,16.2,Site-level adaptation plan,Open,Strategy & Planning,PCH-DHJ,EU CBAM exposure on exports
CR-02753,Transition-Policy,IEA-NZE2050,Medium (2-5 yr),Rare,0.65,Vendor diversification programme,Mitigating,CRO Office,MKT-DST,EU CBAM exposure on exports
CR-02754,Transition-Policy,IEA-NZE2050,Medium (2-5 yr),Rare,6.32,Site-level adaptation plan,Mitigating,Legal & Compliance,FW-BRSR,EU CBAM exposure on exports
CR-02755,Transition-Policy,IEA-NZE2050,Medium (2-5 yr),Possible,11.99,Supplier contract pass-through,Mitigating,CRO Office,LOG-KCH,EU CBAM exposure on exports
CR-02756,Transition-Policy,IEA-NZE2050,Medium (2-5 yr),Likely,9.16,Insurance coverage expanded,Mitigating,Group HR,PJT-EVS,EU CBAM exposure on exports
CR-02757,Transition-Policy,IEA-NZE2050,Medium (2-5 yr),Likely,15.26,Supplier contract pass-through,Mitigating,Plant Operations,MKT-B2B,EU CBAM exposure on exports
CR-02758,Transition-Policy,IEA-NZE2050,Long (5-10 yr),Likely,8.1,Hedging via carbon market,Open,Legal & Compliance,PJT-LIV,EU CBAM exposure on exports
CR-02759,Transition-Policy,IEA-NZE2050,Long (5-10 yr),Almost Certain,11.01,Vendor diversification programme,Mitigating,Sustainability — Climate,FW-GRI,EU CBAM exposure on exports
CR-02760,Transition-Policy,IEA-NZE2050,Long (5-10 yr),Possible,13.05,Insurance coverage expanded,Open,Strategy & Planning,RSK-SUP,EU CBAM exposure on exports
CR-02761,Transition-Policy,IEA-NZE2050,Long (5-10 yr),Likely,4.21,Supplier contract pass-through,Mitigating,EHS Director,HQ,EU CBAM exposure on exports
CR-02762,Transition-Policy,IEA-NZE2050,Long (5-10 yr),Almost Certain,4.42,Site-level adaptation plan,Mitigating,Investor Relations,REG-NTH,EU CBAM exposure on exports
CR-02763,Transition-Policy,IEA-NZE2050,Long (5-10 yr),Likely,8.96,Vendor diversification programme,Mitigating,Strategy & Planning,LOG-KCH,EU CBAM exposure on exports
CR-02764,Transition-Policy,IEA-NZE2050,Very Long (10-30 yr),Possible,3.46,Supplier contract pass-through,Mitigating,Investor Relations,DST-IND,EU CBAM exposure on exports
CR-02765,Transition-Policy,IEA-NZE2050,Very Long (10-30 yr),Rare,3.13,Customer transition partnership,Mitigating,Plant Operations,RSK-BIO,EU CBAM exposure on exports
CR-02766,Transition-Policy,IEA-NZE2050,Very Long (10-30 yr),Possible,0.5,Vendor diversification programme,Mitigating,Investor Relations,BIZ-AGR,EU CBAM exposure on exports
CR-02767,Transition-Policy,IEA-NZE2050,Very Long (10-30 yr),Likely,3.26,Vendor diversification programme,Closed,Plant Operations,PJT-DIG,EU CBAM exposure on exports
CR-02768,Transition-Policy,IEA-NZE2050,Very Long (10-30 yr),Rare,7.97,Vendor diversification programme,Mitigating,Legal & Compliance,MKT-DTC,EU CBAM exposure on exports
CR-02769,Transition-Policy,IEA-NZE2050,Very Long (10-30 yr),Possible,22.92,Supplier contract pass-through,Closed,Treasury,PCH-PDP,EU CBAM exposure on exports
CR-02770,Transition-Policy,IEA-NZE2050,Very Long (10-30 yr),Likely,3.31,PPA conversion to renewables,Mitigating,Strategy & Planning,PJT-COM,EU CBAM exposure on exports
CR-02771,Transition-Policy,IEA-NZE2050,Very Long (10-30 yr),Possible,7.6,Supplier contract pass-through,Mitigating,Procurement,BIZ-LUB,EU CBAM exposure on exports
CR-02772,Transition-Policy,IEA-NZE2050,Very Long (10-30 yr),Possible,2.24,Hedging via carbon market,Closed,Procurement,PJT-SAF,EU CBAM exposure on exports
CR-02773,Transition-Policy,IEA-NZE2050,Very Long (10-30 yr),Rare,2.8,Workforce reskilling programme,Open,Legal & Compliance,DST-HYD,EU CBAM exposure on exports
CR-02774,Transition-Policy,IEA-APS,Short (0-2 yr),Possible,1.11,Site-level adaptation plan,Mitigating,Plant Operations,FNC-IT,EU CBAM exposure on exports
CR-02775,Transition-Policy,IEA-APS,Short (0-2 yr),Possible,36.23,Insurance coverage expanded,Mitigating,Investor Relations,DST-LKO,EU CBAM exposure on exports
CR-02776,Transition-Policy,IEA-APS,Short (0-2 yr),Almost Certain,2.13,Hedging via carbon market,Mitigating,Sustainability — Climate,HQ,EU CBAM exposure on exports
CR-02777,Transition-Policy,IEA-APS,Short (0-2 yr),Rare,50.13,Site-level adaptation plan,Mitigating,Sustainability — Climate,PJT-BIO,EU CBAM exposure on exports
CR-02778,Transition-Policy,IEA-APS,Short (0-2 yr),Likely,2.26,Supplier contract pass-through,Open,Sustainability — Climate,OFC-CHN,EU CBAM exposure on exports
CR-02779,Transition-Policy,IEA-APS,Short (0-2 yr),Possible,19.69,Customer transition partnership,Mitigating,Treasury,RSK-WTR,EU CBAM exposure on exports
CR-02780,Transition-Policy,IEA-APS,Short (0-2 yr),Possible,29.18,Vendor diversification programme,Mitigating,Sustainability — Climate,BIZ-AGR,EU CBAM exposure on exports
CR-02781,Transition-Policy,IEA-APS,Medium (2-5 yr),Likely,1.62,Supplier contract pass-through,Open,Plant Operations,FW-CDPW,EU CBAM exposure on exports
CR-02782,Transition-Policy,IEA-APS,Medium (2-5 yr),Rare,5.71,Workforce reskilling programme,Closed,Treasury,BIZ-AGR,EU CBAM exposure on exports
CR-02783,Transition-Policy,IEA-APS,Medium (2-5 yr),Possible,204.63,Hedging via carbon market,Mitigating,Procurement,FNC-LGL,EU CBAM exposure on exports
CR-02784,Transition-Policy,IEA-APS,Medium (2-5 yr),Almost Certain,13.33,Capex earmarked in 5-yr plan,Mitigating,EHS Director,FNC-IT,EU CBAM exposure on exports
CR-02785,Transition-Policy,IEA-APS,Medium (2-5 yr),Possible,2.04,Hedging via carbon market,Mitigating,Legal & Compliance,OFC-CHN,EU CBAM exposure on exports
CR-02786,Transition-Policy,IEA-APS,Medium (2-5 yr),Rare,30.68,Hedging via carbon market,Mitigating,Legal & Compliance,FW-CSRD,EU CBAM exposure on exports
CR-02787,Transition-Policy,IEA-APS,Medium (2-5 yr),Likely,48.26,Hedging via carbon market,Closed,Group HR,PJT-DIG,EU CBAM exposure on exports
CR-02788,Transition-Policy,IEA-APS,Medium (2-5 yr),Rare,23.25,PPA conversion to renewables,Mitigating,Group HR,FNC-PRC,EU CBAM exposure on exports
CR-02789,Transition-Policy,IEA-APS,Medium (2-5 yr),Possible,28.46,Site-level adaptation plan,Mitigating,Procurement,RSK-REP,EU CBAM exposure on exports
CR-02790,Transition-Policy,IEA-APS,Long (5-10 yr),Possible,113.16,Hedging via carbon market,Mitigating,Plant Operations,PJT-LIV,EU CBAM exposure on exports
CR-02791,Transition-Policy,IEA-APS,Long (5-10 yr),Possible,17.43,Engineering controls — process,Mitigating,Procurement,PJT-CYB,EU CBAM exposure on exports
CR-02792,Transition-Policy,IEA-APS,Long (5-10 yr),Almost Certain,24.36,Hedging via carbon market,Open,CRO Office,PCH-VDR,EU CBAM exposure on exports
CR-02793,Transition-Policy,IEA-APS,Long (5-10 yr),Likely,64.5,Vendor diversification programme,Mitigating,Group HR,REG-EST,EU CBAM exposure on exports
CR-02794,Transition-Policy,IEA-APS,Long (5-10 yr),Likely,0.5,Site-level adaptation plan,Closed,Plant Operations,BIZ-LUB,EU CBAM exposure on exports
CR-02795,Transition-Policy,IEA-APS,Long (5-10 yr),Likely,3.71,PPA conversion to renewables,Mitigating,Procurement,FNC-HRM,EU CBAM exposure on exports
CR-02796,Transition-Policy,IEA-APS,Long (5-10 yr),Likely,53.46,Capex earmarked in 5-yr plan,Mitigating,Treasury,FW-SBTI,EU CBAM exposure on exports
CR-02797,Transition-Policy,IEA-APS,Long (5-10 yr),Possible,59.15,Site-level adaptation plan,Closed,Legal & Compliance,DST-HYD,EU CBAM exposure on exports
CR-02798,Transition-Policy,IEA-APS,Very Long (10-30 yr),Almost Certain,5.89,Vendor diversification programme,Open,Legal & Compliance,PJT-NETZ,EU CBAM exposure on exports
CR-02799,Transition-Policy,IEA-APS,Very Long (10-30 yr),Possible,18.1,PPA conversion to renewables,Mitigating,Sustainability — Climate,REG-WST,EU CBAM exposure on exports
CR-02800,Transition-Policy,IEA-APS,Very Long (10-30 yr),Almost Certain,15.4,Site-level adaptation plan,Mitigating,Treasury,PJT-HRT,EU CBAM exposure on exports
CR-02801,Transition-Policy,IEA-APS,Very Long (10-30 yr),Likely,11.15,Supplier contract pass-through,Open,Plant Operations,BIZ-SPC,EU CBAM exposure on exports
CR-02802,Transition-Policy,IEA-APS,Very Long (10-30 yr),Possible,4.25,Site-level adaptation plan,Open,EHS Director,FNC-CSR,EU CBAM exposure on exports
CR-02803,Transition-Policy,IEA-APS,Very Long (10-30 yr),Possible,420.24,Hedging via carbon market,Open,Sustainability — Climate,PCH-GDR,EU CBAM exposure on exports
CR-02804,Transition-Policy,IEA-STEPS,Short (0-2 yr),Possible,7.02,Insurance coverage expanded,Mitigating,Strategy & Planning,OFC-BBS,EU CBAM exposure on exports
CR-02805,Transition-Policy,IEA-STEPS,Short (0-2 yr),Almost Certain,0.5,Vendor diversification programme,Open,EHS Director,REG-AMR,EU CBAM exposure on exports
CR-02806,Transition-Policy,IEA-STEPS,Short (0-2 yr),Likely,3.08,Customer transition partnership,Mitigating,CRO Office,PJT-TAX,EU CBAM exposure on exports
CR-02807,Transition-Policy,IEA-STEPS,Short (0-2 yr),Likely,1.87,Site-level adaptation plan,Closed,Legal & Compliance,BIZ-RNW,EU CBAM exposure on exports
